,Gender,Age,Education,EducationField,JobRole,YearsAtCompany,BusinessTravel,Department,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHQ,State,AgeWhenHired,MaritalStatus,PercentSalaryHike,StockOptionLevel,MonthlyIncome,Compensation
0,M,46.0,Some College,Medical,Human Resources,4.0,Travel_Rarely,Marketing,Medium,High,Associate,Medium,8.0,Yes,Outstanding,Very High,16.0,2.0,3.0,2.0,0.0,2.0,4.1276,NY,31.0,Divorced,22.0,Full Option Plan,5021.0,High
1,M,59.0,Masters,Human Resources,Manager,3.0,Non-Travel,Marketing,High,Medium,VP to C-Level,Very High,9.0,No,Outstanding,Very High,30.0,3.0,3.0,2.0,2.0,2.0,5.9853,NY,43.0,Married,21.0,Full Option Plan,18844.0,High
2,M,54.0,Bachelors,Human Resources,Manager,5.0,Non-Travel,Marketing,Very High,Very High,Executive,Very High,2.0,Yes,Excellent,High,23.0,3.0,3.0,3.0,4.0,4.0,2.2375,NY,35.0,Single,12.0,No Option Plan,17328.0,Low
3,F,26.0,Below College,Life Sciences,Human Resources,8.0,Travel_Rarely,Finance,High,High,Junior Associate,High,1.0,No,Outstanding,Very High,8.0,3.0,3.0,7.0,5.0,7.0,6.9875,NJ,29.0,Married,23.0,Full Option Plan,2942.0,High
4,M,30.0,Bachelors,Human Resources,Human Resources,11.0,Travel_Rarely,Finance,High,High,Associate,Very High,0.0,Yes,Excellent,Very High,12.0,2.0,1.0,9.0,4.0,7.0,9.1022,NY,46.0,Married,19.0,No Option Plan,6347.0,Low
5,F,59.0,Some College,Medical,Human Resources,2.0,Travel_Rarely,Finance,Medium,High,Junior Associate,High,8.0,No,Excellent,Very High,7.0,2.0,2.0,2.0,2.0,2.0,2.7505,NY,45.0,Married,17.0,No Option Plan,2267.0,High
6,M,31.0,Bachelors,Human Resources,Human Resources,2.0,Travel_Rarely,Finance,Low,Medium,Associate,Low,3.0,No,Excellent,Very High,9.0,1.0,3.0,2.0,1.0,0.0,5.1789,NY,32.0,Married,12.0,No Option Plan,6410.0,High
7,M,42.0,Below College,Technical Degree,Human Resources,3.0,Travel_Rarely,Finance,High,High,Junior Associate,High,0.0,Yes,Excellent,High,4.0,5.0,3.0,2.0,1.0,0.0,6.8516,NJ,43.0,Divorced,11.0,Full Option Plan,2696.0,Low
8,M,50.0,Bachelors,Medical,Manager,32.0,Travel_Frequently,Marketing,Low,High,VP to C-Level,Medium,1.0,No,Excellent,High,32.0,2.0,3.0,5.0,10.0,7.0,9.5247,NJ,29.0,Married,11.0,Full Option Plan,18200.0,Low
9,F,44.0,Masters,Life Sciences,Human Resources,2.0,Travel_Rarely,Marketing,Low,Medium,Associate,High,4.0,No,Excellent,Medium,10.0,1.0,4.0,2.0,0.0,2.0,8.0002,NY,43.0,Single,11.0,No Option Plan,5985.0,Low
10,F,54.0,Masters,Medical,Human Resources,9.0,Travel_Rarely,Marketing,High,High,Manager,Medium,2.0,No,Excellent,High,16.0,1.0,4.0,7.0,7.0,1.0,2.7051,NY,29.0,Married,15.0,Full Option Plan,10725.0,High
11,M,41.0,Masters,Human Resources,Manager,21.0,Travel_Rarely,Marketing,Medium,Medium,VP to C-Level,Very High,3.0,No,Excellent,Medium,23.0,2.0,2.0,6.0,12.0,6.0,9.3994,NY,49.0,Divorced,15.0,Small Option Plan,19141.0,Low
12,F,41.0,Bachelors,Human Resources,Manager,22.0,Travel_Rarely,Marketing,Very High,Medium,VP to C-Level,High,1.0,No,Excellent,Medium,22.0,3.0,3.0,7.0,2.0,10.0,4.4682,NY,34.0,Married,12.0,Full Option Plan,19189.0,Low
13,M,39.0,Bachelors,Human Resources,Human Resources,8.0,Travel_Rarely,Finance,High,Very High,Associate,Medium,9.0,No,Excellent,High,12.0,3.0,1.0,3.0,3.0,6.0,8.1062,NJ,44.0,Married,15.0,Full Option Plan,6389.0,High
14,F,36.0,Bachelors,Human Resources,Human Resources,5.0,Travel_Rarely,Finance,High,High,Junior Associate,Medium,4.0,No,Excellent,Medium,8.0,2.0,3.0,2.0,0.0,4.0,2.2027,NY,25.0,Married,13.0,Full Option Plan,2143.0,High
15,M,34.0,Some College,Human Resources,Human Resources,3.0,Travel_Rarely,Finance,High,High,Junior Associate,Very High,0.0,No,Excellent,High,4.0,1.0,1.0,2.0,0.0,2.0,8.3175,NJ,28.0,Married,19.0,Full Option Plan,3737.0,High
16,M,28.0,Some College,Medical,Human Resources,5.0,Travel_Rarely,Finance,Medium,Medium,Junior Associate,Very High,1.0,No,Excellent,Very High,6.0,6.0,3.0,1.0,0.0,4.0,2.649,NY,45.0,Divorced,13.0,Full Option Plan,4936.0,Low
17,M,36.0,Bachelors,Life Sciences,Human Resources,5.0,Travel_Rarely,Finance,Low,Medium,Junior Associate,Low,0.0,No,Outstanding,High,6.0,3.0,3.0,4.0,0.0,3.0,7.6785,NY,42.0,Married,21.0,No Option Plan,2342.0,High
18,M,39.0,Bachelors,Life Sciences,Human Resources,5.0,Travel_Rarely,Human Resources,Very High,Medium,Associate,Very High,8.0,No,Excellent,High,13.0,2.0,3.0,4.0,0.0,4.0,7.6658,NY,36.0,Married,11.0,Large Option Plan,5204.0,High
19,M,33.0,Some College,Human Resources,Human Resources,4.0,Travel_Rarely,Human Resources,Very High,High,Junior Associate,Medium,3.0,Yes,Excellent,High,7.0,4.0,4.0,3.0,0.0,3.0,8.0988,NJ,25.0,Divorced,11.0,Full Option Plan,2277.0,Low
20,F,45.0,Masters,Medical,Human Resources,6.0,Travel_Rarely,Human Resources,Medium,High,Junior Associate,Medium,1.0,No,Excellent,Low,6.0,3.0,3.0,3.0,0.0,4.0,5.5856,NY,29.0,Single,16.0,No Option Plan,2177.0,Low
21,M,38.0,Bachelors,Human Resources,Human Resources,7.0,Travel_Rarely,Human Resources,High,Very High,Junior Associate,High,1.0,No,Excellent,Very High,7.0,2.0,4.0,6.0,5.0,0.0,7.7361,NJ,41.0,Married,13.0,Full Option Plan,2844.0,Low
22,F,35.0,Masters,Technical Degree,Human Resources,5.0,Travel_Rarely,Human Resources,High,High,Junior Associate,High,1.0,No,Excellent,Medium,6.0,2.0,1.0,4.0,1.0,4.0,5.1857,NJ,34.0,Single,17.0,No Option Plan,4323.0,High
23,M,33.0,Bachelors,Human Resources,Human Resources,5.0,Travel_Rarely,Operations,Medium,High,Junior Associate,High,1.0,No,Excellent,Very High,5.0,2.0,3.0,4.0,1.0,4.0,8.0495,NY,47.0,Married,13.0,Full Option Plan,3600.0,Low
24,M,42.0,Doctorate,Medical,Human Resources,4.0,Non-Travel,Operations,Very High,Very High,Associate,Low,7.0,No,Excellent,Low,10.0,3.0,4.0,3.0,0.0,3.0,5.2945,NJ,50.0,Married,16.0,Full Option Plan,6272.0,Low
